original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
Revenge in the Forest of the Dead Sharks,"Action, Comedy, Horror",50,Russia,Russian,Sergey A.,Terra Studio,"Journalist Max Fadeev investigates the circumstances of the death of Dima Maslennikov. He goes to the place of his death, not suspecting that a real nightmare awaits him. The dead sharks from the forest begin to hunt him.",7.3,333,,1
Firincinin Karisi,Comedy,91,Turkey,Turkish,Murat Onbul,Two Productions,"Ferdane, a naive woman, has an ordinary life with her husband, the baker Mustafa. Ferdane, accustomed to the behavior of Mustafa, a masked and jealous man, is confronted with unexpected ...",2.9,728,,1
Yves,Comedy,107,France,French,Benoît Forgeard,Ecce Films,"Jerem moved to his grandmother's house to compose a rap record. He meets So, a mysterious investigator on behalf of the start-up Digital Cool, who persuades him to take the test Yves, a ...",5.5,402,2,12
Dangerous Lies,"Drama, Mystery, Thriller",96,USA,English,Michael M. Scott,Off Camera Productions,"When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.",5.2,12402,249,50
Rafadan Tayfa Göbeklitepe,"Animation, Adventure",89,Turkey,Turkish,Ismail Fidan,ISF Film,"Children's movie about Gobeklitepe, the most significant archaeological discovery of the 21st century, 12K years old temple in South Eastern Anatolia.",5.7,143,5,1
Forensic,"Crime, Mystery, Thriller",134,India,Malayalam,"Anas Khan, Akhil Paul",Juvis Production,Samuel uses his forensic skills and discovers breakthroughs in a serial killing case as further victims are added to the list. Shikha teams up with Samuel and uncovers evidence that might lead to the killer's identity.,6.6,2124,78,5
Thamaasha,"Comedy, Drama",120,India,Malayalam,Ashraf Hamza,Happy Hours Entertainment,A funny and naughty male teacher and his encounters with love,7.8,895,25,1
Dog Town,Animation,72,USA,English,James Snider,,"When the inconsiderate residents of Dog Town get a little too loud for their own good, the neighbors take notice and call for help in a last-ditch effort to restore peace and justice.",4,201,8,
Lunana: A Yak in the Classroom,"Drama, Family",110,Bhutan,Dzongkha,Pawo Choyning Dorji,,"The film was shot on-location at the world's most remote school, located in the Himalayan glaciers at an average altitude of 5,000 meters. Due to the remoteness and lack of facilities, the film was shot on solar charged batteries.",8,108,4,3
Yin he bu xi ban,Drama,147,China,Mandarin,"Chao Deng, Baimei Yu",Tianjin Chengzi Yingxiang Media,"When his space shuttle flight has an accident, an astronaut remembers the lessons his father taught him growing up.",6,326,8,1
The Haunting of La Llorona,Horror,71,USA,English,Dennis Devine,CineRidge Entertainment,"The screams of the children echo throughout the night as a violent reminder of a demon of the past. La Llorona, a paranormal force has returned and seeks the blood of the innocent, proving that the legend is real.",2.7,122,9,1
Zui hao de wo men,"Drama, Romance",109,China,Chinese,"Disa Zhang, Disa Zhang",China Film,"Geng Geng had been an ordinary girl before her entry to the best high school in the province by chance. She doesn't like her life there until she meets Yu Huai, her seatmate - their names ...",5.7,112,6,1
Rahman 1400,"Comedy, Drama",111,Iran,Persian,Manouchehr Hadi,,Rahman is the custodian of a company and the doctor has told him that he will die soon. He decides to with the help of his friend Anush make a plan and inherit some money for his family.,4.5,1202,4,5
Bad Girl,"Drama, Sport",100,Bulgaria,Bulgarian,Marian Valev,BNT,"Zhanet - an ex-champion in Gymnastics, currently a stripper, goes through drastic changes in her life after she lives through a family tragedy and becomes a victim of violence. In an ...",5.9,304,5,
Don't Let Them In,Horror,81,UK,English,Mike Dunkin,The Ideas Factory,"A home invasion horror movie in the vein of You're Next and The Purge, about a group of people under siege by masked intruders in an abandoned hotel.",4.7,582,26,14
Les misérables,"Crime, Drama, Thriller",104,France,"French, Bambara",Ladj Ly,Srab Films,"A cop from the provinces moves to Paris to join the Anti-Crime Brigade of Montfermeil, discovering an underworld where the tensions between the different groups mark the rhythm.",7.6,14644,66,161
Dylda,"Drama, War",130,Russia,Russian,Kantemir Balagov,AR Content,"1945, Leningrad. WWII has devastated the city, demolishing its buildings and leaving its citizens in tatters, physically and mentally. Two young women search for meaning and hope in the struggle to rebuild their lives amongst the ruins.",7.1,6183,35,109
Adam,Drama,98,"Morocco, France, Belgium",Arabic,Maryam Touzani,Ali n' Productions,"Abla runs a modest local bakery from her home in Casablanca where she lives alone with her 8-year-old daughter, Warda. When Samia, a young pregnant woman knocks on their door, Abla is far from imagining that her life will change forever.",7.2,590,1,21
Liu Yu Tian,Crime,120,China,Chinese,Feng Zu,Gootime Films,A detective investigating a bizarre murder case begins to fall in love with a surgeon he has met while trying to solve the crime.,5.6,148,10,9
Liberté,"Drama, History",138,"France, Portugal, Spain, Germany","French, German, Italian",Albert Serra,Idéale Audience,"Madame de Dumeval, the Duke de Tesis and the Duke de Wand, libertines expelled from the court of Louis XVI, seek the support of the Duc de Walchen, German seducer and freethinker, lonely in a country where hypocrisy and false virtue reign.",4.7,558,8,34
Chong ai,"Drama, Family, Romance",108,China,"Mandarin, English",Larry Yang,Beijing Hairun Pictures Company,Star-studded holiday ensemble comedy about pets and their owners lives.,5.6,115,1,3
Trois jours et une vie,"Crime, Drama, Thriller",120,"France, Belgium",French,Nicolas Boukhrief,Mahi Films,"Christmas 1999, in a peaceful little village in the Ardennes. The life of a young boy named Antoine will soon be devastated by three tragic events : the death of a dog, the vanishing of a child, and a big ravaging storm.",6.6,681,3,15
Donne-moi des ailes,"Adventure, Family",113,"France, Norway","French, English, Norwegian",Nicolas Vanier,Radar Films,"Based on the real story of Christian, a specialist on wild goose migrations, and the adventure he and his son embarked.",7.3,1135,10,14
Kalki,"Action, Thriller",140,India,Telugu,Prasanth Varma,Happy Movies,"The village of Kollapuram is under the rule of Narsappa (Ashutosh Rana) and Perumal (Shatru). One day during a local festival Sekhar (Siddhu Jonnalagadda), brother of Narsappa gets killed. ...",6.9,435,15,3
"Family Romance, LLC",Drama,89,USA,Japanese,Werner Herzog,Skellig Rock,A man is hired to impersonate the missing father of a young girl.,6.8,1540,11,46
Akinjeon,"Action, Crime, Drama",109,"South Korea, USA","Korean, English",Won-Tae Lee,Ace Maker Movie Works,A crime boss teams up with a cop to track down a serial killer.,6.9,6634,50,86
Christmas a la Mode,Romance,87,USA,English,John Stimpson,H9 Films,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,6.7,389,11,1
Malmkrog,"Drama, History",201,"Romania, Serbia, Switzerland, Sweden, Bosnia and Herzegovina, Republic of North Macedonia","Hungarian, French, Russian, German",Cristi Puiu,Bord Cadre Films,"A landowner, a politician, a countess, a General and his wife gather in a spacious manor house and discuss death, war, progress and morality. As time passes by, the discussion becomes more serious and heated.",4.9,276,13,15
Agent Sai Srinivasa Athreya,"Action, Comedy, Crime",148,India,Telugu,Swaroop Rsj,Swadharm Entertainment,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,8.5,5585,96,2
Milliard,"Comedy, Crime, Thriller",101,Russia,Russian,Roman Prygunov,Central Partnership Productions,Influential banker Matvey Levin goes to great lengths to avoid sharing his wealth with his illegitimate children. But when he loses everything it transpires that only they can help him. To ...,3,720,7,1
Vinci Da,"Crime, Mystery, Thriller",117,India,Bengali,Srijit Mukherji,SVF Entertainment,"A passionate make-up artist has his life turned upside down when a psychopathic ""serial lawyer"" takes an interest in his work - and has his moral compass put to test.",7.3,1430,24,4
Epidemiya. Vongozero,"Drama, Thriller",90,Russia,Russian,Pavel Kostomarov,KIT Film Studio,"Moscow is stricken by an unknown virus that soon has the whole country in its grasp. Trying to save his new love and her autistic son as well as his ex-wife and their son, Sergey and his ...",6.3,152,,
Zhong guo ji zhang,"Action, Adventure, Drama",111,China,"Mandarin, Tibetan, Chinese",Andrew Lau,Bona Film Group,"When the windshield of his commercial airplane shatters at 30,000 feet in the air, a pilot and his flight crew work to ensure the safety of the passengers and land the plane.",6.1,1088,22,22
Lie huo ying xiong,"Action, Drama, Family",118,China,Mandarin,Tony Chan,Bona Film Group,Chinese firefighters struggle to contain a huge fire after an oil pipeline explodes.,5.5,575,9,20
Edakkad Battalion 06,"Action, Drama, Romance",111,India,Malayalam,Swapnesh K. Nair,Carnival Motion Pictures,"Shafeek's father wanted him to become a chef, but he chose to serve his country instead. On his annual leave from work, Shafeek, now a young soldier, must deal with his family, his bride to be and a gang involved in illegal activities.",4.7,182,7,
As I Am,"Drama, Fantasy, Romance",62,USA,English,Anthony Bawn,APB Production,A story of a young man running from the truth about his childhood returns in order to correct his past but ends up discovering a side of himself that he suppressed.,9.3,1173,5,
Chun Jiang Shui Nuan,Drama,150,China,Chinese,Xiaogang Gu,Beijing Qu Jing Pictures,A feature film shot over the course of two years intended to capture the changing of the seasons along the river in a town in the Fuyang district of Hangzhou city.,7.1,314,3,7
Ceniza Negra,Drama,82,"Costa Rica, Argentina, Chile, France",Spanish,Sofia Quiros,Sputnik Films,"Selva (13) lives in a coastal town in the Caribbean. After the sudden disappearance of her only motherly figure, she is left to take care of her grandfather who doesn't want to live. ...",6,124,,3
Tu mérites un amour,"Comedy, Drama, Romance",102,France,French,Hafsia Herzi,Les Films de la Bonne Mère,"After Rémi's infidelity, Lila has a hard time dealing with their break-up. One day, he announces that he will travel alone to Bolivia to try to understand his mistakes.",6.1,254,1,3
Litigante,Drama,93,"Colombia, France",Spanish,Franco Lolli,Evidencia Films,A single mother balances taking care of her mother during her fight with cancer while dealing with a corruption scandal at work.,6.5,350,4,17
Vif-argent,"Drama, Fantasy",104,France,French,Stéphane Batut,Zadig Films,"In the streets of Paris, Juste collects the last memory of people only him can see, before helping them into the afterlife. Juste is a ghost. But one day Agathe recognizes him. She knew him when he was alive.",6.2,171,2,13
Super Duper,"Comedy, Thriller",118,India,"Tamil, Telugu",A.K.,Flux Films,"Two petty criminals end up kidnapping the wrong woman, and end up in a situation where they have to deal with a kingpin of a drug mafia.",6.5,213,11,1
Huo zhe chang zhe,Drama,105,"China, France, Canada",Chinese,Johnny Ma,Notable Content,A Sichuan Opera troupe are faced with the demolition of their theater and dissolution.,6.3,119,1,8
Hatsukoi,"Action, Comedy, Crime",108,"Japan, UK",Japanese,Takashi Miike,Oriental Light and Magic (OLM),A young boxer and a call girl get caught up in a drug-smuggling scheme over the course of one night in Tokyo.,6.8,4150,30,133
Tlamess,Drama,120,"Tunisia, France",Arabic,Alaeddine Slim,Exit Productions,"S is a young soldier in the southern desert of Tunisia. When he learns about his mother's death, he obtains a week's leave and goes back home. He will never return to the camp.",5.9,130,,7
Perdrix,"Comedy, Drama, Romance",99,France,French,Erwan Le Duc,Domino Films,Captain Pierre Perdrix's life has been turned upside down since the enigmatic Juliette Webb burst into his life. Her presence alone will force his tight-knit family to redefine their boundaries and finally begin to fully live their lives.,6.4,864,3,12
